file,column
neonatal_unit_isolates_37.csv,sample_accession
neonatal_unit_isolates_37.csv,collection_year
neonatal_unit_isolates_37.csv,sampling_site
panel_isolate_index.csv,population
panel_isolate_index.csv,panel_id
panel_isolate_index.csv,isolate_id
panel_isolate_index.csv,population_tip_order
panel_isolate_index.csv,panel_tip_order
panel_isolate_index.csv,lineage
panel_isolate_index.csv,run_accession
panel_summary.csv,population
panel_summary.csv,panel_id
panel_summary.csv,lineage
panel_summary.csv,n_isolates
panel_summary.csv,first_tip_position
panel_summary.csv,last_tip_position
panel_summary.csv,first_isolate
panel_summary.csv,last_isolate
panel_summary.csv,partition_basis
phenotype_accessions_19.csv,isolate_id
phenotype_accessions_19.csv,run_accession
phenotype_accessions_19.csv,sample_accession
phenotype_accessions_19.csv,sequence_type
phenotype_accessions_19.csv,lineage
phenotype_categories_as_recorded_42.csv,isolate_id
phenotype_categories_as_recorded_42.csv,group
phenotype_categories_as_recorded_42.csv,AMP10
phenotype_categories_as_recorded_42.csv,AZM15
phenotype_categories_as_recorded_42.csv,CIP5
phenotype_categories_as_recorded_42.csv,FOX30
phenotype_categories_as_recorded_42.csv,MEM10
phenotype_categories_as_recorded_42.csv,C30
phenotype_categories_as_recorded_42.csv,PEF5
phenotype_categories_as_recorded_42.csv,FEP30
phenotype_categories_as_recorded_42.csv,SXT25
phenotype_categories_as_recorded_42.csv,TCG15
phenotype_categories_as_recorded_42.csv,IPM10
phenotype_categories_as_recorded_42.csv,AK30
phenotype_categories_as_recorded_42.csv,CPD10
phenotype_categories_as_recorded_42.csv,ATM30
phenotype_categories_as_recorded_42.csv,CN10
phenotype_categories_as_recorded_42.csv,TZP36
phenotype_categories_as_recorded_42.csv,CTX5
phenotype_categories_as_recorded_42.csv,source_sheet
phenotype_categories_as_recorded_42.csv,source_row
phenotype_isolate_index_42.csv,isolate_id
phenotype_isolate_index_42.csv,group
phenotype_isolate_index_42.csv,MDR_phenotype
phenotype_isolate_index_42.csv,XDR_phenotype
phenotype_isolate_index_42.csv,run_accession
phenotype_isolate_index_42.csv,recorded_R_count
phenotype_summary_17.csv,code
phenotype_summary_17.csv,antibiotic
phenotype_summary_17.csv,Isangi_S
phenotype_summary_17.csv,Isangi_I
phenotype_summary_17.csv,Isangi_R
phenotype_summary_17.csv,Isangi_n
phenotype_summary_17.csv,Isangi_R_percent
phenotype_summary_17.csv,Comparator_S
phenotype_summary_17.csv,Comparator_I
phenotype_summary_17.csv,Comparator_R
phenotype_summary_17.csv,Comparator_n
phenotype_summary_17.csv,Comparator_R_percent
phenotype_summary_17.csv,Fisher_exact_p
phenotype_zone_diameters_42.csv,isolate_id
phenotype_zone_diameters_42.csv,group
phenotype_zone_diameters_42.csv,AMP10
phenotype_zone_diameters_42.csv,AZM15
phenotype_zone_diameters_42.csv,CIP5
phenotype_zone_diameters_42.csv,FOX30
phenotype_zone_diameters_42.csv,MEM10
phenotype_zone_diameters_42.csv,C30
phenotype_zone_diameters_42.csv,PEF5
phenotype_zone_diameters_42.csv,FEP30
phenotype_zone_diameters_42.csv,SXT25
phenotype_zone_diameters_42.csv,TCG15
phenotype_zone_diameters_42.csv,IPM10
phenotype_zone_diameters_42.csv,AK30
phenotype_zone_diameters_42.csv,CPD10
phenotype_zone_diameters_42.csv,ATM30
phenotype_zone_diameters_42.csv,CN10
phenotype_zone_diameters_42.csv,TZP36
phenotype_zone_diameters_42.csv,CTX5
phenotype_zone_diameters_42.csv,source_sheet
phenotype_zone_diameters_42.csv,source_row
rhierbaps_assignments_327.csv,isolate_id
rhierbaps_assignments_327.csv,lineage
